ID,cluster,Tema_Cluster,ementa detalhada
3286,34,Direito Penal e Processual Penal,"Altera o Decreto-lei nº 2.848, de 1940."
3297,5,Trabalho e Emprego,e
3309,16,Direito Civil e Processual Civil,"Altera o Decreto-lei nº 2.848, de 1940 e revoga a Lei nº 13. 989, de 2020."
3323,35,Direitos Humanos e Minorias,Altera as Leis nº 8.137 de 1990 e 7.492 de 1986.
3370,8,Direito Penal e Processual Penal,Altera o Decreto-lei nº 3.689 de 1941.
3379,10,Direito Civil e Processual Civil,Altera a Lei nº 10.406 de 2002.
3400,39,Direito Penal e Processual Penal,"Altera a Lei nº 7.210, de 1984."
3404,29,Direitos Humanos e Minorias,"Altera as Leis nº 8.080, 1990 e 9.656, de 1988."
3439,31,Defesa e Segurança,Altera a Lei nº 13.979 de 2020.
3442,7,Finanças Públicas e Orçamento,Altera a Lei nº 13.146 de 2015.
3446,8,Direito Penal e Processual Penal,"Altera a Lei nº 13.475, de 2017."
3449,29,Direitos Humanos e Minorias,"Altera as Leis nº 10.820, de 2003 e 1.521, de 1951."
3464,0,Trabalho e Emprego,"Altera a Lei nº 12.845, de 2013."
3465,34,Direito Penal e Processual Penal,"Altera a Lei nº 9.503, de 1997."
3466,14,Trabalho e Emprego,"Altera a Lei nº 13.979, de 2020."
3467,1,Direito Civil e Processual Civil,"Altera a Lei nº 5.655, de 1971."
3468,38,Direitos Humanos e Minorias,"Altera a Lei nº 10.260, de 2001."
3504,42,Direitos Humanos e Minorias,"Revoga dispositivos da Lei nº 3.244, de 1957 ; do Decreto-lei 63, de 1966 e o Decreto-lei nº 2.166, de 1984."
3505,35,Direitos Humanos e Minorias,"Altera a Lei nº 12.764, de 2012."
3513,7,Finanças Públicas e Orçamento,Altera as Leis nº 10.925 de 2004 e 13.820 de 2019.
3549,27,Direito Civil e Processual Civil,"Altera o Decreto-lei nº 2.848, de 1940."
3575,0,Trabalho e Emprego,Altera o Decreto-lei nº 5.452 de 1943.
3585,16,Direito Civil e Processual Civil,Altera o Decreto-lei 2.848 de 1940 e a Lei nº 8.072 de 1990.
3586,8,Direito Penal e Processual Penal,Altera o Decreto-lei nº 2.848 de 1940.
3591,35,Direitos Humanos e Minorias,Altera a Lei nº 9.615 de 1998.
3595,4,Educação,Altera a Lei nº 9.394 de 1996.
3614,42,Direitos Humanos e Minorias,"Altera o Decreto-lei, 2.848, de 1940."
3617,34,Direito Penal e Processual Penal,Altera Lei nº 13.105 de 2015.
3618,8,Direito Penal e Processual Penal,Altera a Lei nº 11.419 de 2006.
3624,0,Trabalho e Emprego,Altera o Decreto-lei nº 5.452 de 1943.
3626,0,Trabalho e Emprego,Altera o Decreto-lei nº 5.452 de 1943.
3696,16,Direito Civil e Processual Civil,"Altera a Lei nº 7.210, de 1984 e revoga dispositivo da Lei 12.594, de 2012."
3702,47,Direitos Humanos e Minorias,Altera a Lei nº 9.249 de 1995.
3719,20,Direitos Humanos e Minorias,Altera a Lei nº 8.742 de 1993.
3720,8,Direito Penal e Processual Penal,Altera a Lei nº 7.713 de 1988.
3721,16,Direito Civil e Processual Civil,Altera a Lei nº 13.105 de 2015.
3780,8,Direito Penal e Processual Penal,Altera o Decreto-lei nº 2.848 de 1940.
3790,41,Direito Penal e Processual Penal,"Revoga a Lei 9.800, de 1999."
3808,19,Direito e Defesa do Consumidor,"ilitar,"
3840,40,Direito e Defesa do Consumidor,"Altera o Decreto-lei nº 2.848, de 1940."
3843,49,Direito Civil e Processual Civil,"Altera o Decreto-lei  nº 3.689, de 1941."
3845,49,Direito Civil e Processual Civil,"Altera o Decreto-lei nº 2848, de 1940 e a Lei nº 7170, de1983."
3850,35,Direitos Humanos e Minorias,Altera a Lei nº 9.250 de 1995.
3872,7,Finanças Públicas e Orçamento,Altera a Lei nº 13.982 de 2020.
3903,3,Finanças Públicas e Orçamento,","
3931,40,Direito e Defesa do Consumidor,"Altera as Leis nº 10.637, de 2002 e 10.833, de 2003."
3934,26,Direitos Humanos e Minorias,Altera a Lei nº 10.260 de 2001.
3942,16,Direito Civil e Processual Civil,"Altera a Lei nº 10.865, de 2004."
3952,38,Direitos Humanos e Minorias,"Altera a Lei nº 10.260, de 2001."
3964,35,Direitos Humanos e Minorias,"Altera a Lei nº 8.010, de 1990."
3975,41,Direito Penal e Processual Penal,Altera o Decreto-Lei nº  2.848 de 1940.
3979,19,Direito e Defesa do Consumidor,"Altera a Lei nº 8.009, de 1990."
3980,8,Direito Penal e Processual Penal,"Altera a Lei nº 13.105, de 2015."
3981,48,Viação,"Altera as Leis nº 12.865, de 2013 e 9.613, de 1988."
3982,33,Direito e Defesa do Consumidor,"Altera o Decreto-lei nº 2.848, de 1940 e a Lei nº 7.716, de 1989."
3986,12,Direito Penal e Processual Penal,"Altera o Decreto-Lei nº 5.452, de 1943."
3987,27,Direito Civil e Processual Civil,"Dispõe que para a instalação de obra, empreendimento ou atividade potencialmente causadora de degradação do meio ambiente, será exigido Estudo Prévio de Impacto Ambiental (EIA), com ampla publicidade; regulamentando a Constituição Federal de 1988."
4028,29,Direitos Humanos e Minorias,"Altera a Lei nº 9.478, de 1997."
4048,28,Direitos Humanos e Minorias,Altera a Lei nº 12.527 de 2011.
4074,48,Viação,Altera a Lei nº 9.797 de 1999.
4077,16,Direito Civil e Processual Civil,Altera as Leis nº 14.300 de 2022 e 10.438 de 2022.
4083,8,Direito Penal e Processual Penal,Altera o Decreto-lei nº 3.689 de 1941.
4091,34,Direito Penal e Processual Penal,"Altera a Lei nº 12.351, de 2010."
4127,10,Direito Civil e Processual Civil,"Altera as Leis nº  12.514 de 2011, 8.906 de 1994, 10.406, de 2002 e revoga a Lei nº 6.830 de 1980."
4142,30,Finanças Públicas e Orçamento,Altera a Lei nº 10.925 de 2004.
4154,39,Direito Penal e Processual Penal,"Altera a Lei nº 6.938, de 1981."
